????,??,     ??,     ??,     ??, ??10?, ??30?, ??60?, ??90?,??120?,??150?,??180?,     ??,     ??,     ??, ??10?, ??30?, ??60?, ??90?,??120?,??150?,??180?
20110218, USD,     ??,29.015,29.315,29.309,29.291,29.265,29.234,29.205,29.173,29.13,     ??,29.557,29.415,29.412,29.403,29.386,29.367,29.347,29.32,29.298
20110217, USD,     ??,29.06,29.36,29.352,29.332,29.303,29.277,29.243,29.215,29.17,     ??,29.602,29.46,29.455,29.446,29.43,29.41,29.39,29.358,29.335
20110216, USD,     ??,29.08,29.38,29.375,29.356,29.332,29.303,29.267,29.235,29.19,     ??,29.622,29.48,29.477,29.468,29.454,29.436,29.412,29.39,29.36
20110215, USD,     ??,29.09,29.39,29.386,29.37,29.345,29.317,29.286,29.253,29.215,     ??,29.632,29.49,29.488,29.481,29.467,29.45,29.43,29.4,29.378
20110214, USD,     ??,28.95,29.25,29.246,29.229,29.205,29.179,29.148,29.117,29.077,     ??,29.492,29.35,29.348,29.341,29.326,29.31,29.29,29.258,29.24
20110211, USD,     ??,28.84,29.14,29.136,29.12,29.095,29.069,29.039,29.011,28.971,     ??,29.382,29.24,29.238,29.231,29.218,29.2,29.182,29.155,29.135
20110210, USD,     ??,28.575,28.875,28.871,28.854,28.83,28.803,28.773,28.746,28.709,     ??,29.117,28.975,28.973,28.966,28.953,28.936,28.923,28.893,28.871
20110209, USD,     ??,28.43,28.73,28.726,28.709,28.682,28.655,28.626,28.597,28.559,     ??,28.972,28.83,28.828,28.82,28.805,28.789,28.77,28.742,28.721
20110208, USD,     ??,28.555,28.855,28.851,28.832,28.807,28.78,28.745,28.715,28.675,     ??,29.097,28.955,28.953,28.945,28.929,28.915,28.895,28.865,28.847
20110201, USD,     ??,28.675,28.975,28.971,28.952,28.926,28.901,28.868,28.838,28.799,     ??,29.217,29.075,29.075,29.066,29.05,29.034,29.015,28.995,28.97
20110131, USD,     ??,28.685,28.985,28.981,28.963,28.938,28.912,28.88,28.85,28.807,     ??,29.227,29.085,29.083,29.075,29.061,29.044,29.025,29,28.977
20110128, USD,     ??,28.655,28.955,28.951,28.932,28.908,28.881,28.85,28.82,28.782,     ??,29.197,29.055,29.054,29.046,29.031,29.015,28.995,28.969,28.947
20110127, USD,     ??,28.685,28.985,28.979,28.963,28.938,28.911,28.879,28.847,28.81,     ??,29.227,29.085,29.082,29.075,29.06,29.042,29.025,28.995,28.972
20110126, USD,     ??,28.69,28.99,28.984,28.968,28.943,28.916,28.884,28.852,28.815,     ??,29.232,29.09,29.087,29.08,29.065,29.047,29.03,29,28.977
20110125, USD,     ??,28.67,28.97,28.964,28.948,28.923,28.896,28.864,28.832,28.795,     ??,29.212,29.07,29.067,29.06,29.045,29.027,29.01,28.98,28.957
20110124, USD,     ??,28.705,29.005,28.998,28.983,28.957,28.928,28.896,28.867,28.83,     ??,29.247,29.105,29.101,29.094,29.078,29.06,29.043,29.012,28.993
20110121, USD,     ??,28.77,29.07,29.067,29.047,29.021,28.3,28.962,28.935,28.896,     ??,29.312,29.17,29.169,29.158,29.144,29.125,29.108,29.078,29.057
20110120, USD,     ??,28.745,29.045,29.041,29.021,28.996,28.967,28.935,28.908,28.87,     ??,29.287,29.145,29.143,29.132,29.118,29.1,29.083,29.052,29.031
20110119, USD,     ??,28.665,28.965,28.961,28.94,28.915,28.886,28.854,28.825,28.785,     ??,29.207,29.065,29.063,29.052,29.037,29.018,29,28.97,28.948
20110118, USD,     ??,28.675,28.975,28.925,28.949,28.924,28.895,28.862,28.833,28.79,     ??,29.217,29.075,29.055,29.06,29.046,29.028,29.01,28.982,28.96
20110117, USD,     ??,28.67,28.97,28.966,28.944,28.919,28.89,28.858,28.827,28.79,     ??,29.212,29.07,29.068,29.055,29.041,29.024,29.005,28.976,28.957
20110114, USD,     ??,28.665,28.965,28.961,28.941,28.917,28.887,28.856,28.827,28.79,     ??,29.207,29.065,29.064,29.052,29.038,29.019,29,28.972,28.953
20110113, USD,     ??,28.685,28.985,28.981,28.96,28.934,28.905,28.872,28.84,28.805,     ??,29.227,29.085,29.083,29.071,29.055,29.037,29.018,28.99,28.97
20110112, USD,     ??,28.75,29.05,29.045,29.024,28.998,28.97,28.937,28.905,28.87,     ??,29.292,29.15,29.148,29.135,29.119,29.102,29.082,29.055,29.032
20110111, USD,     ??,28.85,29.15,29.145,29.123,29.097,29.07,29.04,29.01,28.973,     ??,29.392,29.25,29.247,29.234,29.219,29.202,29.185,29.16,29.137
20110110, USD,     ??,28.89,29.19,29.184,29.1873,29.138,29.113,29.08,29.052,29.016,     ??,29.432,29.29,29.287,29.275,29.26,29.245,29.224,29.198,29.178
20110107, USD,     ??,29.01,29.31,29.305,29.285,29.259,29.232,29.2,29.17,29.135,     ??,29.552,29.41,29.407,29.397,29.382,29.363,29.345,29.318,29.296
20110106, USD,     ??,28.92,29.22,29.213,29.194,29.168,29.14,29.108,29.079,29.042,     ??,29.462,29.32,29.316,29.305,29.29,29.271,29.257,29.224,29.206
20110105, USD,     ??,28.84,29.14,29.134,29.113,29.088,29.059,29.025,28.995,28.957,     ??,29.382,29.24,29.237,29.226,29.21,29.192,29.175,29.145,29.127
20110104, USD,     ??,28.81,29.11,29.104,29.08,29.055,29.026,28.99,28.96,28.927,     ??,29.352,29.21,29.207,29.194,29.179,29.158,29.14,29.11,29.09
20110103, USD,     ??,28.765,29.065,29.059,29.034,29.01,28.98,28.947,28.913,28.875,     ??,29.307,29.165,29.162,29.149,29.137,29.12,29.095,29.07,29.07
20101231, USD,     ??,28.78,29.08,29.074,29.049,29.025,28.995,28.962,28.928,28.89,     ??,29.322,29.18,29.177,29.164,29.152,29.135,29.173,29.085,29.085
20101230, USD,     ??,28.78,29.08,29.071,29.043,29.02,28.99,28.96,28.93,28.885,     ??,29.322,29.18,29.176,29.156,29.145,29.125,29.11,29.08,29.065
20101229, USD,     ??,29.05,29.35,29.09,29.296,29.265,29.23,29.195,29.161,29.142,     ??,29.592,29.45,29.434,29.409,29.4,29.38,29.36,29.33,29.307
20101228, USD,     ??,29.13,29.43,29.404,29.376,29.345,29.31,29.275,29.241,29.222,     ??,29.672,29.53,29.514,29.489,29.48,29.46,29.44,29.41,29.387
20101227, USD,     ??,29.17,29.47,29.439,29.407,29.38,29.35,29.29,29.27,29.24,     ??,29.712,29.57,29.556,29.533,29.52,29.485,29.45,29.44,29.43
20101224, USD,     ??,29.37,29.67,29.648,29.615,29.59,29.56,29.52,29.49,29.45,     ??,29.912,29.77,29.752,29.745,29.725,29.713,29.69,29.665,29.65
20101223, USD,     ??,29.53,29.83,29.823,29.793,29.768,29.739,29.71,29.675,29.637,     ??,30.072,29.93,29.927,29.909,29.895,29.875,29.858,29.825,29.81
20101222, USD,     ??,29.55,29.85,29.846,29.819,29.792,29,29.73,29.705,29.669,     ??,30.092,29.95,29.949,29.931,29.913,29.44,29.88,29.86,29.832
20101221, USD,     ??,29.525,29.825,29.821,29.799,29.769,29.744,29.708,29.675,29.635,     ??,30.067,29.925,29.923,29.912,29.894,29.878,29.855,29.825,29.805
20101220, USD,     ??,29.54,29.84,29.836,29.814,29.784,29.759,29.723,29.69,29.65,     ??,30.082,29.94,29.938,29.927,29.909,29.893,29.87,29.84,29.82
20101217, USD,     ??,29.5,29.8,29.796,29.774,29.744,29.719,29.683,29.65,29.61,     ??,30.042,29.9,29.898,29.887,29.869,29.853,29.83,29.8,29.78
20101216, USD,     ??,29.525,29.825,29.821,29.799,29.769,29.744,29.708,29.675,29.635,     ??,30.067,29.925,29.923,29.912,29.894,29.878,29.855,29.825,29.805
20101215, USD,     ??,29.54,29.84,29.837,29.814,29.787,29.761,29.727,29.69,29.655,     ??,30.082,29.94,29.939,29.926,29.91,29.892,29.869,29.84,29.82
20101214, USD,     ??,29.58,29.88,29.877,29.855,29.826,29.8,29.766,29.735,29.697,     ??,30.122,29.98,29.979,29.966,29.949,29.934,29.915,29.885,29.968
