000000, SEQID 14391, CYCLE 014 1000, SIZE 4063744, GAMMA 0.000, GAIN 69, SHUTTER 82, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000001, SEQID 14392, CYCLE 014 1500, SIZE 4025856, GAMMA 0.000, GAIN 64, SHUTTER 82, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000002, SEQID 14393, CYCLE 014 2000, SIZE 4008448, GAMMA 0.000, GAIN 64, SHUTTER 82, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000003, SEQID 14394, CYCLE 014 2500, SIZE 3994624, GAMMA 0.000, GAIN 70, SHUTTER 81, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000004, SEQID 14395, CYCLE 014 3000, SIZE 3964928, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000005, SEQID 14396, CYCLE 014 3500, SIZE 3955200, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000006, SEQID 14397, CYCLE 014 4000, SIZE 3937280, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000007, SEQID 14398, CYCLE 014 4500, SIZE 3918336, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000008, SEQID 14399, CYCLE 014 5000, SIZE 3897856, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52091667, LON 121.83643833, ALT 25.000, UTC 04:39:08.00
000009, SEQID 14400, CYCLE 014 5500, SIZE 3883520, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000010, SEQID 14401, CYCLE 014 6000, SIZE 3877376, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000011, SEQID 14402, CYCLE 014 6500, SIZE 3867648, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000012, SEQID 14403, CYCLE 014 7000, SIZE 3850752, GAMMA 0.000, GAIN 70, SHUTTER 80, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000013, SEQID 14404, CYCLE 014 7500, SIZE 3827200, GAMMA 0.000, GAIN 64, SHUTTER 80, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000014, SEQID 14405, CYCLE 015 0000, SIZE 3810304, GAMMA 0.000, GAIN 64, SHUTTER 80, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000015, SEQID 14406, CYCLE 015 0500, SIZE 3792896, GAMMA 0.000, GAIN 64, SHUTTER 80, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000016, SEQID 14407, CYCLE 015 1000, SIZE 3860480, GAMMA 0.000, GAIN 64, SHUTTER 80, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000017, SEQID 14408, CYCLE 015 1500, SIZE 3733504, GAMMA 0.000, GAIN 71, SHUTTER 79, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000018, SEQID 14409, CYCLE 015 2000, SIZE 3802624, GAMMA 0.000, GAIN 64, SHUTTER 79, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000019, SEQID 14410, CYCLE 015 2500, SIZE 3944448, GAMMA 0.000, GAIN 64, SHUTTER 79, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000020, SEQID 14411, CYCLE 015 3000, SIZE 4066816, GAMMA 0.000, GAIN 64, SHUTTER 79, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000021, SEQID 14412, CYCLE 015 3500, SIZE 3634176, GAMMA 0.000, GAIN 64, SHUTTER 79, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000022, SEQID 14413, CYCLE 015 4000, SIZE 3832832, GAMMA 0.000, GAIN 71, SHUTTER 78, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000023, SEQID 14414, CYCLE 015 4500, SIZE 4143616, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000024, SEQID 14415, CYCLE 015 5000, SIZE 3584512, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52084000, LON 121.83648167, ALT 25.500, UTC 04:39:09.00
000025, SEQID 14416, CYCLE 015 5500, SIZE 3852288, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000026, SEQID 14417, CYCLE 015 6000, SIZE 4145152, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000027, SEQID 14418, CYCLE 015 6500, SIZE 3567616, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000028, SEQID 14419, CYCLE 015 7000, SIZE 4104704, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000029, SEQID 14420, CYCLE 015 7500, SIZE 3776000, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000030, SEQID 14421, CYCLE 016 0000, SIZE 4118016, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000031, SEQID 14422, CYCLE 016 0500, SIZE 4114944, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000032, SEQID 14423, CYCLE 016 1000, SIZE 3719680, GAMMA 0.000, GAIN 72, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000033, SEQID 14424, CYCLE 016 1500, SIZE 4140544, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
